Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,2023PTS
Sacramento Kings,59,242.1,43.6,87.8,0.497,13.3,36.3,0.367,30.3,51.4,0.588,20.1,25.1,0.802,9.2,32.8,41.9,26.9,7.1,3.3,14.1,19.9,120.6
Golden State Warriors,60,242.1,43,90.2,0.477,16.7,43.3,0.386,26.3,46.9,0.56,15.8,20,0.79,9.9,33.9,43.8,29.8,7,3.7,16.3,22,118.5
Boston Celtics,60,243.8,42,88.4,0.475,16,42.2,0.379,26,46.2,0.563,18.3,22.2,0.826,9.7,35.5,45.2,26.5,6.3,5.3,13.5,19,118.3
Oklahoma City Thunder,59,243,43.6,92.8,0.469,12.2,33.6,0.362,31.4,59.3,0.53,18.6,23.2,0.801,11.6,32.4,44,24.7,8.2,4.8,13.4,21.4,117.9
Utah Jazz,61,241.6,42.3,89.3,0.474,14.1,39,0.36,28.3,50.3,0.562,18.9,23.9,0.79,11.9,33,44.9,25.7,6.4,5,15.3,20.8,117.6
Denver Nuggets,60,240.8,44,86.1,0.511,12.2,30.9,0.394,31.8,55.2,0.576,16.9,22.5,0.752,9.9,32.9,42.8,29.1,7.6,4.5,15,19.2,117.1
Los Angeles Lakers,60,242.9,43.2,89.7,0.482,10.5,31,0.34,32.7,58.7,0.557,20.2,26.1,0.774,9.6,35.9,45.5,25.3,6.4,4.6,14.1,18.5,117.1
Atlanta Hawks,60,242.1,44.2,92.2,0.479,10.6,30.4,0.35,33.6,61.8,0.543,17.8,21.7,0.817,10.6,33.3,43.9,24.7,7,5,12.8,19.1,116.7
Memphis Grizzlies,58,240.9,43.2,92.2,0.469,11.2,32.8,0.343,32,59.4,0.539,18.3,25.3,0.72,12.9,34.9,47.8,25.2,8.3,6.1,14.2,20.3,115.9
Minnesota Timberwolves,62,241.2,42.9,87.1,0.492,11.9,33.5,0.356,31,53.6,0.577,18,23.4,0.772,9,32.4,41.4,25.5,8.1,5.4,15.7,21.8,115.7
Milwaukee Bucks,59,242.1,41.9,90.3,0.464,14.5,40.1,0.361,27.4,50.2,0.546,16.9,22.8,0.739,11.6,37.7,49.3,24.8,6.6,4.9,14.9,18.4,115.1
Portland Trail Blazers,59,240.8,40.8,84.7,0.482,13.1,34.9,0.375,27.7,49.9,0.556,20.2,25.1,0.803,9.9,31.5,41.4,24.3,6.4,4.3,14.6,20.6,114.9
Indiana Pacers,61,240.8,41.2,89.5,0.46,13.9,38.3,0.363,27.2,51.1,0.533,18.6,23.4,0.796,10.1,31.4,41.5,26.5,8,5.8,15.2,21.3,114.9
New Orleans Pelicans,60,242.5,42.2,88.1,0.479,10.8,30.3,0.356,31.4,57.8,0.544,19.6,25.1,0.78,11,33.1,44.1,25.7,8.5,4.2,15,20.8,114.8
New York Knicks,61,243.7,41.4,89.7,0.462,12.1,35,0.346,29.3,54.7,0.535,19.7,25.5,0.771,12.9,34,46.9,22.3,6.1,4,12.7,20.8,114.6
Philadelphia 76ers,58,242.2,40.5,84.1,0.481,12.7,33,0.384,27.8,51.2,0.544,20.6,24.9,0.829,8.6,32,40.6,25.1,7.9,4.8,13.7,20.5,114.3
Washington Wizards,59,240.8,41.9,86.5,0.485,11.5,32,0.361,30.4,54.5,0.558,18.2,23.1,0.788,9.3,34.6,43.9,25.3,6.9,5.4,14.2,19.2,113.6
Brooklyn Nets,59,240.4,42.1,84.2,0.5,12.6,32.3,0.389,29.5,51.9,0.569,16.7,21.1,0.793,7.8,32.4,40.2,25.7,6.8,6.4,14.2,22,113.6
Dallas Mavericks,61,243.3,39.5,83.3,0.474,14.9,40.6,0.367,24.6,42.7,0.576,19.6,26.2,0.75,7.9,30.7,38.6,22.4,6.6,3.8,12.3,20.7,113.5
Toronto Raptors,60,241.7,41.5,90.9,0.457,10.8,32.3,0.335,30.7,58.6,0.523,19.5,24.9,0.783,12.7,30.2,42.9,23.2,9.3,5.3,11.9,20.5,113.4
Chicago Bulls,60,242.1,42.5,87.1,0.488,10.4,28.7,0.36,32.1,58.3,0.55,18.1,22.4,0.809,8.6,34.5,43.1,24.2,7.5,4.5,13.8,19.4,113.4
Phoenix Suns,61,241.6,41.7,89.6,0.465,12.3,32.6,0.378,29.3,57,0.514,17.2,21.7,0.793,11.9,32.1,44.1,27.1,7.3,5,14.1,21,112.9
Charlotte Hornets,61,242.5,42,92.2,0.455,10.8,33.1,0.326,31.2,59.1,0.528,17.9,23.9,0.747,11.8,33.3,45,25.2,8.1,5.1,13.7,20.7,112.6
Los Angeles Clippers,62,242,40.6,86,0.472,12.9,33.7,0.382,27.7,52.3,0.529,18.5,23.7,0.779,9.9,33.6,43.5,23.1,6.8,4.6,14.2,19.6,112.5
San Antonio Spurs,60,241.7,43.1,91.8,0.469,10.5,30.8,0.342,32.5,60.9,0.534,15.8,21.2,0.746,12,31.1,43.1,27,7,3.9,15.6,20.3,112.5
Detroit Pistons,60,242.1,39.7,87.4,0.455,11.8,33.2,0.356,27.9,54.1,0.516,20.9,27,0.773,10.9,31.4,42.3,22.8,7.2,3.8,15,22.4,112.2
Cleveland Cavaliers,63,242.8,41.2,84.5,0.488,11.4,31.5,0.362,29.8,53,0.563,18,23,0.781,9.7,32,41.8,24.8,7.1,4.4,13.8,18.7,111.8
Orlando Magic,60,241.3,40.1,85.3,0.47,10.7,30.6,0.351,29.4,54.6,0.538,19.9,25.3,0.787,10,32.7,42.6,22.8,7.1,4.6,15.2,20.3,110.9
Houston Rockets,59,240.8,39.7,88.2,0.449,10.8,33.3,0.326,28.8,54.9,0.524,19.4,25.7,0.756,13.1,33.4,46.5,22.4,7.2,4.9,16.9,20.6,109.6
Miami Heat,60,241.7,39,86.5,0.451,11.6,34.9,0.332,27.4,51.6,0.532,18.6,22.5,0.826,10,31.4,41.4,23.4,8.4,3.1,13.3,18.8,108.2
